N,UNIVERSIDAD,DEPARTAMENTO,PROVINCIA,DISPOSITIVO LEGAL DE CREACIÓN,FECHA DE CREACIÓN,DISPOSITIVO LEGAL DE LICENCIAMIENTO,FECHA DE PUB. DIARIO EL PERUANO,TIPO
74,Universidad Científica del Perú (*3),LORETO,Maynas,Ley N° 25213,29/05/1990,,,PRIVADA
75,Universidad César Vallejo S.A.C.,LA LIBERTAD,Trujillo,Ley N° 25350,12/11/1991,Res. N° 077-2019-SUNEDU/CD,12/06/2019,PRIVADA
76,Universidad Católica Los Ángeles de Chimbote (*4),ANCASH,Santa,Ley N° 24163,10/06/1985,,,PRIVADA
77,Universidad Peruana de Ciencias Aplicadas S.A.C.,LIMA,Lima,Ley N° 26276,03/01/1994,Res. N° 037-2017-SUNEDU/CD,06/10/2017,PRIVADA
78,Universidad Privada del Norte S.A.C.,LA LIBERTAD,Trujillo,Ley N° 26275,03/01/1994,Res. N° 062-2017-SUNEDU/CD,11/11/2017,PRIVADA
79,Universidad San Ignacio de Loyola S.A.,LIMA,Lima,Res. N° 060-95-CONAFU,07/12/1995,Res. N° 039-2017-SUNEDU/CD,08/10/2017,PRIVADA
80,Universidad Alas Peruanas,LIMA,Lima,Res. N° 102-96-CONAFU,26/04/1996,,,PRIVADA
81,Universidad Privada Norbert Wiener,LIMA,Lima,Res. N° 177-96-CONAFU,09/12/1996,,,PRIVADA
82,Universidad Católica San Pablo,AREQUIPA,Arequipa,Res. N° 190-97-CONAFU,10/01/1997,Res. N° 042-2017-SUNEDU/CD,22/10/2017,PRIVADA
83,Grupo Educativo Universidad Privada de Ica S.A.C. (*5 *13),ICA,Ica,Res. N° 222-97-CONAFU,19/03/1997,,,PRIVADA
84,Universidad Privada San Juan Bautista S.A.C. (*6),LIMA,Lima,Res. N° 224-97-CONAFU,19/03/1997,,,PRIVADA
85,Universidad Tecnológica del Perú,LIMA,Lima,Res. N° 278-97-CONAFU,08/09/1997,Res. N° 081-2019-SUNEDU/CD,13/06/2019,PRIVADA
86,Universidad Continental S.A.C. (*7),JUNIN,Huancayo,Res. N° 429-98-CONAFU,30/06/1998,Res. N° 094-2018-SUNEDU/CD,11/08/2018,PRIVADA
87,Universidad Científica del Sur S.A.C.,LIMA,Lima,Res. N° 356-98-CONAFU,05/02/1998,Res. N° 039-2018-SUNEDU/CD,02/05/2018,PRIVADA
88,Universidad Católica Santo Toribio de Mogrovejo,LAMBAYEQUE,Chiclayo,Res. N° 474-98-CONAFU,14/10/1998,Res. N° 031-2018-SUNEDU/CD,22/03/2018,PRIVADA
89,Universidad Privada Antonio Guillermo Urrelo,CAJAMARCA,Cajamarca,Res. N° 490-98-CONAFU,19/11/1998,,,PRIVADA
90,Universidad Católica Sedes Sapientiae,LIMA,Lima,Res. N° 688-99-CONAFU,27/12/1999,Res. N° 117-2018-SUNEDU/CD,13/09/2018,PRIVADA
91,Universidad Señor de Sipán,LAMBAYEQUE,Chiclayo,Res. N° 575-99-CONAFU,05/07/1999,,,PRIVADA
92,Universidad Católica de Trujillo Benedicto XVI (*8),LA LIBERTAD,Trujillo,Res. N° 147-2000-CONAFU,13/11/2000,Res. N° 018-2019-SUNEDU/CD,21/02/2019,PRIVADA
93,Universidad Peruana de las Américas,LIMA,Lima,Res. N° 199-2002-CONAFU,14/08/2002,,,PRIVADA
94,Universidad ESAN,LIMA,Lima,Ley N° 28021,10/07/2003,Res. N° 038-2018-SUNEDU/CD,10/04/2018,PRIVADA
95,Universidad Antonio Ruiz de Montoya,LIMA,Lima,Res. N° 055-2003-CONAFU,05/03/2003,Res. N° 018-2017-SUNEDU/CD,03/06/2017,PRIVADA
96,Universidad Peruana de Ciencias e Informática,LIMA,Lima,Res. N° 167-2002-CONAFU,19/07/2002,,,PRIVADA
